
 num     #instances         #bytes  class name
 280:          5989         191648  org.apache.hadoop.ipc.Client$$Lambda$89/1288052401
 281:          5937         189984  java.util.jar.Attributes$Name
 282:          5903         188896  sun.nio.fs.AbstractPath$1
 283:          5900         188800  [Lorg.apache.hadoop.ozone.om.helpers.OmKeyInfo;
 284:          5900         188800  org.apache.hadoop.hdds.client.BlockID
 285:          5900         188800  org.apache.hadoop.hdds.client.ContainerBlockID
 286:          5853         187296  org.apache.hadoop.hdds.scm.container.common.helpers.ContainerWithPipeline
 287:          3339         186984  java.lang.ref.SoftReference
 288:          3264         182784  org.apache.hadoop.ozone.protocol.proto.OzoneManagerProtocolProtos$LookupFileRequest
 289:          3259         182504  org.apache.hadoop.ozone.protocol.proto.OzoneManagerProtocolProtos$LookupFileResponse
 290:          1856         178176  java.lang.Class$ReflectionData
 291:          2186         174880  java.lang.invoke.MemberName
 292:          3549         170352  java.lang.StackTraceElement
 293:           385         166320  java.lang.Thread
 294:          4138         165520  java.util.concurrent.ConcurrentLinkedDeque$Node
 295:          4135         165400  java.util.concurrent.locks.ReentrantReadWriteLock
 296:         10279         164464  java.lang.ref.ReferenceQueue$Lock
 297:          6789         162936  java.util.HashMap$KeySet
 298:           571         159880  java.util.concurrent.atomic.Striped64$Cell
 299:          5987         143688  org.apache.hadoop.io.retry.RetryInvocationHandler$Counters
 300:          2229         142656  java.lang.ref.Finalizer
 301:          5936         142464  java.util.HashMap$Values
 302:          2513         140728  org.apache.hadoop.ozone.protocol.proto.OzoneManagerProtocolProtos$GetFileStatusRequest
 303:          2510         140560  org.apache.hadoop.ozone.protocol.proto.OzoneManagerProtocolProtos$GetFileStatusResponse
 304:          5855         140520  org.apache.hadoop.hdds.scm.protocolPB.StorageContainerLocationProtocolClientSideTranslatorPB$$Lambda$1151/331119834
 305:          5853         140472  java.time.Clock$SystemClock
 306:          5853         140472  org.apache.hadoop.hdds.scm.pipeline.Pipeline$Builder$$Lambda$680/679891435
 307:          3466         138640  org.apache.ratis.thirdparty.io.netty.util.internal.LongAdderCounter
 308:          1981         126784  java.lang.invoke.MethodType
 309:          3138         125520  io.netty.util.internal.LongAdderCounter
 310:          3856         123392  org.apache.hadoop.metrics2.MetricsTag
 311:          2156         120736  java.lang.invoke.MethodType$ConcurrentWeakInternSet$WeakEntry
 312:          2475         118800  org.apache.hadoop.ozone.om.lock.OMLockDetails
 313:           678         116664  [Ljava.lang.reflect.Method;
 314:          1110         115440  org.apache.hadoop.metrics2.lib.Interns$CacheWith2Keys$2
 315:           192         113664  io.netty.util.internal.shaded.org.jctools.queues.MpscChunkedArrayQueue
